historical_evidence_id,global_source_id,historical_subject_id,assertion_type,valid_from,valid_to,temporal_precision,exact_locator,interpretation_level,confidence,geometry_authority,political_authority,notes
hev_2e5580750382,hsrc_7fe408029661,low_countries_localities,GEOMETRIC_SUBSTRATE_ONLY,1500-01-01,1500-12-31,YEAR,"dataset hdl:10622/PGFYTM v15.0, layer 'HALC 1500'",DIRECT,HIGH,YES,NO,Locality geometry substrate for the year 1500 ONLY. Explicitly NO political authority for any other date — this is the assertion that closes the fake-1756 exploit.
hev_3792625e0456,hsrc_bc79a3f9c7ae,hsub_corsican_republic,POLITY_EXISTENCE,1755-11-01,1769-06-01,MONTH,UNKNOWN (work-level; pinpoint pages to be added before any production use),DIRECT,MEDIUM,NO,YES,Existence of the Paoli government as a de-facto polity; NOT usable for production geometry until the locator is pinpointed (gate enforces this).
hev_6bf83c893e22,hsrc_51d14db90c7a,hsub_san_marino,TERRITORIAL_CONTINUITY,1463-01-01,1996-12-31,YEAR,"case-study chapter ""San Marino""",DIRECT,HIGH,NO,YES,Documented extent continuity since 1463 — the assertion behind the MAPGEN-009R representability re-audit.
hev_63418cd6ce49,hsrc_34735c52ef0d,hsub_meissen_electoral_saxony_core,BOUNDARY_POSITION,1756-01-01,1756-12-31,YEAR,BnF Gallica ark btv1b530412497 / Wikimedia Commons file 'Partie meridionale du cercle de Haute Saxe ... par le Sr. Robert - btv1b530412497.jpg'; sheet: whole map; region: the wash-outlined bloc labelled MARQUISAT DE MISNIE around Dresden/Leipzig; digitised pixel bbox recorded in historical_digitisation_parameters.csv,DIRECT,MEDIUM,YES,NO,The sheet draws this territory's outline in a hand-coloured wash; it is geometry authority for 1756 but asserts nothing about who controls it.
hev_886d8a602567,hsrc_34735c52ef0d,hsub_meissen_electoral_saxony_core,POLITICAL_CONTROL,1756-01-01,1756-12-31,YEAR,"BnF Gallica ark btv1b530412497 / Wikimedia Commons file 'Partie meridionale du cercle de Haute Saxe ... par le Sr. Robert - btv1b530412497.jpg'; sheet: whole map; region: the wash-outlined bloc labelled MARQUISAT DE MISNIE around Dresden/Leipzig; digitised pixel bbox recorded in historical_digitisation_parameters.csv; title cartouche 'PARTIE MERIDIONALE DU CERCLE DE HAUTE SAXE ou sont LE DUCHE DE SAXE, LE MARQUISAT DE MISNIE ... 1756' and the in-map label MARQUISAT DE MISNIE",DIRECT,MEDIUM,NO,YES,"Separate assertion: the sheet names the bloc as the Margraviate of Meissen, the Electorate of Saxony's core, at the 1756 state. Existence evidence is never used in its place."
hev_a58ba7e6f5cd,hsrc_34735c52ef0d,hsub_duchy_of_saxe_weimar,BOUNDARY_POSITION,1756-01-01,1756-12-31,YEAR,"BnF ark btv1b530412497; sheet region labelled 'DUCHE DE WEIMAR' (seed pixel (3007, 3419)); digitisation parameters in historical_digitisation_parameters.csv",DIRECT,MEDIUM,YES,NO,hand-coloured wash outline of the bloc on the 1756 sheet
hev_090b079c8ce6,hsrc_34735c52ef0d,hsub_duchy_of_saxe_weimar,POLITICAL_CONTROL,1756-01-01,1756-12-31,YEAR,"BnF ark btv1b530412497; sheet region labelled 'DUCHE DE WEIMAR' (seed pixel (3007, 3419)); digitisation parameters in historical_digitisation_parameters.csv; in-map label 'DUCHE DE WEIMAR'",DIRECT,MEDIUM,NO,YES,"the sheet NAMES this bloc as the territory of that actor at the 1756 state; the label is the political authority, kept separate from the outline that gives the shape"
hev_b134aa1d8c3f,hsrc_34735c52ef0d,hsub_schwarzburg_unpartitioned_wash,BOUNDARY_POSITION,1756-01-01,1756-12-31,YEAR,"BnF ark btv1b530412497; sheet region labelled 'SCHWARTZBURG' (seed pixel (2354, 2702)); digitisation parameters in historical_digitisation_parameters.csv",DIRECT,MEDIUM,YES,NO,Outline of the SCHWARTZBURG wash on the 1756 sheet. Boundary of an unpartitioned dynastic/territorial complex - not of one polity.
hev_aefa0d26edda,hsrc_34735c52ef0d,hsub_schwarzburg_unpartitioned_wash,POLITY_EXISTENCE,1756-01-01,1756-12-31,YEAR,"BnF ark btv1b530412497; sheet region labelled 'SCHWARTZBURG' (seed pixel (2354, 2702)); digitisation parameters in historical_digitisation_parameters.csv; in-map label 'SCHWARTZBURG'",DIRECT,MEDIUM,NO,YES,CORRECTED IN MAPGEN-014. The wash proves that a Schwarzburg territorial complex is depicted here; it does NOT prove which Schwarzburg principality controlled it. The earlier POLITICAL_CONTROL reading created a polity that did not exist in 1756.
hev_8c9f3e7731f0,hsrc_a5816e9281d6,hsub_schwarzburg_rudolstadt,POLITY_EXISTENCE,1599-01-01,1918-12-31,YEAR,"NDB 24 (2010), pp. 12-14, art. 'Schwarzburg, Grafen von' (A. Klinger): '1599 kam es mit dem Teilungsvertrag von Stadtilm zur Trennung des Hauses in die Linien S.-Rudolstadt und S.-Sondershausen'",DIRECT,HIGH,NO,YES,"Schwarzburg-Rudolstadt existed as a separate territorial line from 1599. The same article records the elevations to the hereditary Reichsfuerstenstand (Sondershausen 1697, Rudolstadt 1710) and that the new imperial princes took seat and vote in the Reichsfuerstenrat only from 1754 - so both held it at the 1756-08-01 snapshot."
